lag,acf,ci_lower,ci_upper
0,1.0,0.0,0.0
1,0.34286274403065575,-0.006568080163357304,0.006568080163357304
2,0.2938040440179171,-0.007299468098950157,0.007299468098950157
3,0.262018716260009,-0.007792941601132808,0.007792941601132808
4,0.2411195034738568,-0.00816414998505996,0.00816414998505996
5,0.22569337237877551,-0.008465784495433504,0.008465784495433504
6,0.20665432766561315,-0.008721488495503082,0.008721488495503082
7,0.20075030037737596,-0.008930230043693088,0.008930230043693088
8,0.181774924046342,-0.009122835389266143,0.009122835389266143
9,0.17495166365603895,-0.009277767973497109,0.009277767973497109
10,0.16345265456367403,-0.009419013979173857,0.009419013979173857
11,0.1497274029650376,-0.009540593798221364,0.009540593798221364
12,0.1443595703442104,-0.00964142966844797,0.00964142966844797
13,0.13707284406572068,-0.00973422830324977,0.00973422830324977
14,0.13540596291548923,-0.009817143188693755,0.009817143188693755
15,0.12301398192236358,-0.009897384144984062,0.009897384144984075
16,0.1256648814521637,-0.009963123508232474,0.009963123508232474
17,0.12194331117994825,-0.010031267341387831,0.010031267341387845
18,0.11677657994850507,-0.010095014276132297,0.010095014276132297
19,0.11043144578736881,-0.010153121929241352,0.010153121929241352
20,0.11068738104144442,-0.010204806251212242,0.010204806251212242
21,0.10107015300951835,-0.010256468157685744,0.010256468157685744
22,0.09876369998413484,-0.010299344534572846,0.010299344534572846
23,0.09162111587502049,-0.010340120396868768,0.010340120396868768
24,0.09056881916318985,-0.010375083407989899,0.010375083407989899
